PlayerName,team_name,IP,SIERA,ERA,K_pct,BB_pct,GS
Cristopher Sánchez,PHI,72.1,2.5468,1.6175,0.2905,0.0541,11
Cam Schlittler,NYY,66,2.7275,1.5,0.2964,0.0514,11
Jacob Misiorowski,MIL,64,2.0568,1.8281,0.4032,0.0766,11
Davis Martin,CHW,61.2,2.9424,2.0432,0.2739,0.0498,10
Dylan Cease,TOR,62,2.7304,3.0484,0.3566,0.1008,11
Reid Detmers,LAA,63,3.1933,4.5714,0.283,0.0717,11
Max Fried,NYY,61.2,3.9496000000000002,3.2108,0.2083,0.0792,10
Joe Ryan,MIN,56.2,3.2244,3.0176,0.2711,0.0622,11
Kevin Gausman,TOR,64,3.3453,3.2344,0.2364,0.0388,11
Shohei Ohtani,LAD,49,3.0286,0.7347,0.2842,0.0684,8
Jesús Luzardo,PHI,61.2,2.9755,4.3784,0.2769,0.0654,11
Seth Lugo,KCR,65,4.307,3.7385,0.1978,0.0842,11
José Soriano,LAA,66.1,3.4352,2.4422,0.2792,0.1019,11
Parker Messick,CLE,64.1,3.1997,2.2383,0.28,0.076,11
Paul Skenes,PIT,60,2.8444,3,0.2802,0.0388,11
Max Meyer,MIA,60.2,3.4428,2.522,0.272,0.088,11
Bryan Woo,SEA,63.2,3.7283,3.8168,0.2305,0.0547,11
Braxton Ashcraft,PIT,62.1,3.2056,2.8877,0.2642,0.065,10
Tarik Skubal,DET,43.1,2.7683,2.7,0.2711,0.0361,7
Landen Roupp,SFG,60,3.2588,3.3,0.2742,0.0887,11
Chase Burns,CIN,59,3.2306,1.8305,0.2819,0.0793,10
Kyle Harrison,MIL,45.2,2.8233,1.7737,0.3224,0.0765,9
Chris Sale,ATL,62,2.8086,1.8871,0.2988,0.0581,10
Casey Mize,DET,43.2,3.5345,2.4733,0.2515,0.0643,8
Mason Miller,SDP,23.2,1.0976,0.7606,0.5222,0.1,0
Gavin Williams,CLE,69.1,2.9818,3.2452,0.3032,0.0794,11
Shane McClanahan,TBR,50,3.7913,2.52,0.2463,0.0936,10
Trey Yesavage,TOR,32,3.4894,2.25,0.2734,0.0781,6
Bryce Elder,ATL,68.2,3.8529,1.966,0.2198,0.0769,11
Zack Wheeler,PHI,37.2,3.158,1.6726,0.2553,0.0567,6
Louis Varland,TOR,27.2,1.8362,0.6506,0.367,0.0826,0
Ben Brown,CHC,44.2,2.9921,2.0149,0.264,0.0787,4
Ranger Suarez,BOS,48.2,3.711,2.4041,0.2287,0.0745,9
George Kirby,SEA,68.2,3.6163,3.5388,0.1978,0.0576,11
Mitch Keller,PIT,64.1,4.3322,3.6373,0.179,0.0739,11
Michael Soroka,ARI,55,3.4031,3.2727,0.2446,0.0601,10
Will Warren,NYY,58.1,3.2691,3.5486,0.2664,0.0656,11
Cade Smith,CLE,25.2,1.7781,2.4545,0.3627,0.049,0
Nick Martinez,TBR,59.2,4.4828,1.5084,0.1488,0.0496,10
Sandy Alcantara,MIA,69.2,4.3593,4.0048,0.1644,0.0685,11
Ryan Weathers,NYY,57.1,3.1218,3.1395,0.2826,0.0696,10
Justin Wrobleski,LAD,55.2,4.8647,3.0719,0.1366,0.0617,8
Taj Bradley,MIN,52,3.5285,2.7692,0.2719,0.0876,9
Payton Tolle,BOS,36.2,3.2596,2.4545,0.2786,0.0643,6
Carmen Mlodzinski,PIT,55,4.1786,3.7636,0.1933,0.084,9
Drew Rasmussen,TBR,55,3.2394,2.7818,0.2339,0.0459,10
Clay Holmes,NYM,52.2,3.7759,2.3924,0.2093,0.0837,9
Sean Burke,CHW,53,3.9104,4.0755,0.2054,0.0625,8
Cade Cavalli,WSN,53.2,3.5179,3.8571,0.251,0.0782,11
Michael King,SDP,62,3.9273,2.7581,0.254,0.1129,11
Michael Wacha,KCR,70.1,4.0298,2.6872,0.2174,0.0797,11
Yoshinobu Yamamoto,LAD,64,3.34,3.0938,0.2379,0.0524,10
Nolan McLean,NYM,61.1,2.9964,4.4022,0.2964,0.0751,11
Grant Taylor,CHW,26.2,2.2959,2.3625,0.3482,0.0804,4
Shota Imanaga,CHC,64.2,3.4176,4.0361,0.2567,0.0651,11
MacKenzie Gore,TEX,55,3.8825,4.4182,0.2661,0.1116,11
Dylan Lee,ATL,24.1,2.0356,1.1096,0.3295,0.0341,0
Emerson Hancock,SEA,58.2,3.1843,3.0682,0.262,0.0568,10
Tyler Glasnow,LAD,39.2,2.8332,2.7227,0.3311,0.0878,7
Noah Cameron,KCR,47.2,4.108,4.7203,0.2095,0.0762,9
Antonio Senzatela,COL,32,3.4634,1.125,0.2203,0.0678,0
David Peterson,NYM,48.1,3.6678,5.0276,0.2178,0.0889,6
Eduardo Rodriguez,ARI,60.1,4.5765,2.2376,0.1741,0.0931,10
Adrian Morejon,SDP,26.1,1.9807,4.443,0.2936,0.055,0
Nick Pivetta,SDP,16,2.6685,4.5,0.3636,0.0909,4
Jacob Latz,TEX,23.2,3.1762,1.9014,0.2442,0.0581,1
Janson Junk,MIA,60,4.2261,4.8,0.1686,0.051,11
Matthew Boyd,CHC,24,2.7401,6,0.31,0.06,5
Gregory Soto,PIT,25.1,2.7928,2.1316,0.3196,0.1031,0
Peter Lambert,HOU,40.1,4.0557,3.7934,0.2381,0.1071,7
Randy Vásquez,SDP,54.2,4.1134,2.9634,0.2009,0.0714,10
Bailey Ober,MIN,62,4.6299,3.9194,0.1693,0.0669,11
Aaron Ashby,MIL,33,2.7703,2.4545,0.3357,0.1214,1
Logan Henderson,MIL,23,2.818,2.7391,0.3333,0.0667,5
Erik Sabrowski,CLE,21,2.1952,1.7143,0.4699,0.1566,0
Emmet Sheehan,LAD,51.2,3.1906,4.7032,0.2719,0.0645,10
Spencer Arrighetti,HOU,41,4.7296,1.3171,0.2286,0.1429,7
Will Klein,LAD,22.1,2.6994,2.0149,0.2778,0.0667,1
Rico Garcia,BAL,23.1,2.7752,0.7714,0.3253,0.1084,0
Kris Bubic,KCR,50.1,4.2167,4.1126,0.2464,0.1256,9
Aroldis Chapman,BOS,17.2,2.5956,0.5094,0.3382,0.1029,0
Dustin May,STL,54,4.2879,5,0.1826,0.0739,10
Jacob deGrom,TEX,53.2,3.0197,3.8571,0.2977,0.0512,10
Freddy Peralta,NYM,61.1,4.0063,3.5217,0.2395,0.1027,11
